1,1,1,A
1,2,10,A
2,1,13,A
5,5,30,C
6,6,40,C
10,11,77,B
12,14,88,B
19,17,99,B
65,82,29,C
48,39,37,C
70,48,33,C
38,75,7,A
79,51,94,B
93,41,51,B
90,14,18,C
52,23,62,B
78,79,33,C
90,96,10,C
90,9,42,C
81,20,46,C
73,68,61,B
79,99,85,B
23,5,58,B
71,59,1,A
78,8,26,C
78,72,62,B
10,64,76,B
16,61,12,A
42,1,5,A
31,41,35,C
36,49,96,B
75,29,74,B
95,96,0,C
23,47,74,B
91,20,86,B
50,54,87,B
14,1,35,C
87,15,52,B
24,53,26,C
36,15,5,A
26,50,17,C
85,3,2,A
52,89,85,B
4,94,46,C
37,55,51,B
19,40,54,B
83,43,87,B
44,3,15,A
33,63,21,C
49,97,69,B
11,49,49,C
66,65,26,C
31,84,94,B
23,42,47,C
76,0,71,B
92,36,49,B
26,98,64,B
55,23,41,C
69,68,17,C
25,5,14,A
92,59,37,C
26,43,33,C
45,18,14,A
86,40,76,B
63,28,92,B
41,64,98,B
50,53,49,B
71,63,22,C
37,65,24,C
31,31,47,C
71,42,96,B
26,35,0,A
57,47,4,A
17,7,50,C
50,42,50,B
19,52,32,C
57,73,28,C
15,45,53,B
10,60,79,B
85,4,46,C
72,31,88,B
45,35,17,C
38,74,63,B
61,21,2,A
80,28,32,C
0,49,45,C
38,67,43,C
41,19,96,B
51,30,6,A
92,39,12,C
38,38,6,A
11,14,88,B
55,35,6,A
23,62,29,C
35,16,86,B
53,56,73,B
81,3,49,C
81,31,35,C
51,9,55,B
17,18,6,A
43,66,21,C
25,33,99,B
85,16,76,B
9,92,21,C
97,53,30,C
74,57,71,B
10,6,53,C
24,89,29,C
